"刻む","きざむ","to mince, to cut fine, to chop up, to hash, to shred; to carve, to engrave, to chisel, to notch; to tick away (time), to beat out (e.g. rhythm), to record the passing moments; to etch (into one's mind), to remember distinctly; to have tattooed; to torment"
"起床","きしょう","rising (from one's bed), getting up, getting out of bed"
"基準","きじゅん","standard, basis, criterion, norm, reference, datum"
"着せる","きせる","to put clothes on (someone), to dress, to clothe; to cover, to coat, to plate, to gild, to veneer; to pin (e.g. a crime on someone), to lay (blame), to charge (with an offence), to give (a bad name), to remind someone of (their indebtedness)"
"基礎","きそ","foundation, basis"
"気体","きたい","gas, vapour, vapor, gaseous body"
"基地","きち","base (military, expedition, etc.)"
"切っ掛け","きっかけ","chance, start, cue, excuse, motive, impetus, occasion"
"基盤","きばん","foundation, basis, base, footing, infrastructure; bedrock; substrate (circuit board)"
"客席","きゃくせき","guest seating (e.g. theater, stadium), passenger seat (e.g. taxi); audience"
"客間","きゃくま","drawing room, parlor, parlour, guest room"
"","キャンパス","campus"
"休業","きゅうぎょう","suspension of business, temporary closure (of a store, school, etc.), shutdown, holiday"
"休講","きゅうこう","cancellation (of a lecture, class, etc.)"
"休息","きゅうそく","rest, relief, relaxation"
"給与","きゅうよ","pay, salary, wages; allowance, grant, supply, providing with"
"休養","きゅうよう","rest, relaxation, recreation, recuperation, convalescence"
"強化","きょうか","strengthening, intensifying, reinforcement, enhancement, solidification"
"境界","きょうかい","boundary, border, limit, bounds, frontier"
"恐縮","きょうしゅく","feeling obliged, being grateful, being thankful, being sorry, being ashamed; shrinking back in fear"
"教養","きょうよう","cultivation, refinement, culture, education"
"曲線","きょくせん","curve"
"清い","きよい","clean, clear; pure, honest, clean, innocent, platonic, chaste"
"規律","きりつ","order, observance, discipline; rules, law, regulations"
"斬る","きる","to kill (a human) using a blade (sword, machete, knife, etc.), to slice (off), to lop (off), to cut (off)"
"気をつける","きをつける","to be careful, to pay attention, to take care"
"金魚","きんぎょ","goldfish (Carassius auratus)"
"儀式","ぎしき","ceremony, rite, ritual, service"
"","ぎっしり","tightly (packed), densely, closely, crammed"
"","ギャング","gang; gangster"
"行事","ぎょうじ","event, function"
"行列","ぎょうれつ","line, queue, procession, parade; matrix"
"漁業","ぎょぎょう","fishing industry, fishery"
"区域","くいき","limits, boundary, domain, zone, sphere, territory; area (e.g. in programming languages)"
"空想","くうそう","daydream, fantasy, fancy, vision"
"空中","くうちゅう","sky, air, mid-air"
"釘","くぎ","nail, spike, tack, rivet, brad, (pachinko) pin"
"区切る","くぎる","to divide, to separate, to partition, to demarcate, to delimit, to mark off; to punctuate, to mark off (with a comma), to insert pauses (between words or phrases when reading aloud), to space one's words"
"櫛","くし","comb"
"嚏","くしゃみ","sneeze; spoken twice in response to someone sneezing as a charm against an early death"
"苦心","くしん","pains, hard work, effort, trouble, labour, labor"
"苦情","くじょう","complaint, troubles, objection, grievance"
"薬指","くすりゆび","ring finger, third finger, fourth finger (in piano-playing); fourth toe"
"屑","くず","waste, scrap, garbage, dregs; scum, piece of trash, loser"
"崩す","くずす","to destroy, to demolish, to pull down, to tear down, to level; to disturb, to put into disorder, to throw off balance, to make shaky; to relax (one's pose), to make oneself at ease; to break (a bill), to change, to make change; to write in cursive style, to write in running style; to break into a smile, to let off a smile; to lower (a price)"
"崩れる","くずれる","to collapse, to crumble; to get out of shape, to lose one's shape, to become disorganized, to become untidy; to break down, to be thrown into disarray; to crash (stock market), to slump, to decline; to break money into small change; to turn bad (e.g. weather), to change for the worse, to deteriorate"
"草臥れる","くたびれる","to get tired, to become exhausted, to grow weary; to become worn out, to become battered (from long use); to get tired of (doing), to get fed up with"
"砕く","くだく","to break, to smash"
"砕ける","くだける","to break (into pieces), to be broken, to be smashed; to collapse, to crumble, to decline, to cool (e.g. enthusiasm), to dampen (e.g. one's will to fight); to become less formal, to throw off reserve, to become affable; to become easy to understand (e.g. a story); to be worried"
"下らない","くだらない","trivial, trifling, insignificant, not worth bothering with, worthless, useless, good-for-nothing; stupid, nonsensical, absurd, foolish, silly"
"下る","くだる","to descend, to go down, to come down; to be handed down (of an order, judgment, etc.); to pass (of time); to surrender, to capitulate; to be less than, to be inferior to; to have the runs, to have diarrhea; to pass (in stool), to be discharged from the body; to depreciate oneself, to be humble"
"唇","くちびる","lip, lips"
"口紅","くちべに","lipstick"
"くっ付く","くっつく","to adhere to, to stick to, to cling to; to keep close to, to go along with; to get involved with, to be thick with, to become intimate"
"くっ付ける","くっつける","to attach, to stick together, to paste, to glue; to place together, to put side by side; to make (someone) get married, to get (someone) hitched"
"句読点","くとうてん","punctuation mark"
"諄い","くどい","repetitious, long-winded, tedious, wordy, verbose, insistent, importunate; heavy (taste), (overly) rich, strong, cloying; gaudy (colour, design, etc.), loud"
"配る","くばる","to distribute, to hand out, to deliver, to deal out, to serve out; to allot, to allocate, to place (staff, soldiers, etc.), to station"
"工夫","くふう","devising (a way), contriving, figuring out, coming up with, working out, inventing; device, design, idea, plan, invention; dedication to spiritual improvement (esp. through Zen meditation)"
"区分","くぶん","division, section, demarcation, partition, segmentation, subdivision, (traffic) lane, compartment, classification, sorting"
"組み合わせ","くみあわせ","combination, assortment, set; matching (in a contest), pairing; combination"
"組み立てる","くみたてる","to assemble, to put together, to set up, to construct, to build, to compose (a story, poem, etc.); to form (words, sentences, etc.)"
"汲む","くむ","to draw (water), to ladle, to dip up, to scoop up, to pump; to pour (into a cup), to drink (together); to consider (feelings, the situation, etc.), to sympathize with, to intuit, to understand; to draw upon, to inherit"
"酌む","くむ","to pour (sake), to serve, to drink together"
"悔しい","くやしい","frustrated (over a failure, humiliation or injustice), annoyed, chagrined, (bitterly) disappointed, bitter, vexed, frustrating, annoying, regrettable"
"悔やむ","くやむ","to mourn, to lament; to be sorry, to regret, to repent"
"","クリーニング","cleaning, dry cleaning, laundry service"
"包む","くるむ","to wrap up, to pack, to do up, to cover with, to dress in"
"呉れ呉れも","くれぐれも","sincerely, earnestly; repeatedly, over and over, again and again"
"咥える","くわえる","to hold in one's mouth; to bring with, to take along"
"","クーラー","air conditioner; cooler"
"偶数","ぐうすう","even number"
"郡","ぐん","district, county; district (of 2-20 50-home neighbourhoods or townships, in the ritsuryō period); commandery (in China)"
"稽古","けいこ","practice, practising, training, study"
"蛍光灯","けいこうとう","fluorescent lamp, fluorescent light; person who is slow to react, someone slow on the uptake"
"敬語","けいご","honorific, term of respect, polite expression, honorific language"
"形式","けいしき","form (as opposed to substance); format, form, style, manner; formality, form; mode, form; form (bilinear, quadratic, etc.)"
"継続","けいぞく","continuation, continuance, going on"
"毛糸","けいと","knitting wool, woolen yarn, woollen yarn"
"系統","けいとう","system; lineage, ancestry, family line; group (e.g. of colors) (colours), family (e.g. of languages), party, school (of thought); close (evolutionary) relationship; a population sharing a common ancestor (in genetics), strain (e.g. bacterial)"
"経度","けいど","longitude"
"競馬","けいば","horse racing"
"警備","けいび","defense, defence, guard, policing, security"
"形容詞","けいようし","adjective, i-adjective (in Japanese)"
"形容動詞","けいようどうし","adjectival noun (in Japanese), quasi-adjective, nominal adjective, na-, taru-, nari- or tari-adjective"
"毛皮","けがわ","fur, skin, pelt; kanji ""fur"" radical"
"削る","けずる","to shave (wood, leather, etc.), to sharpen (e.g. pencil), to plane, to whittle, to pare, to scrape off, to erode; to cut down (budget, expenses, staff, time, etc.), to curtail, to reduce; to delete, to erase, to remove, to cross out, to strike out"
"桁","けた","column, beam, girder, crossbeam, spar, yard; digit, decade, order of magnitude"
"傑作","けっさく","masterpiece, best work; amusing blunder, funny mistake, boner"
"血圧","けつあつ","blood pressure"
"血液","けつえき","blood"
"気配","けはい","indication, sign, hint, sensation, feeling; tone (of the market)"
"煙い","けむい","smoky"
"蹴る","ける","to kick; to refuse, to reject; to stamp (on the ground), to firmly press one's feet (against something)"
"","けれど","but, however, although"
"険しい","けわしい","precipitous, rugged, inaccessible, impregnable, steep; grim, severe, stern"
"見学","けんがく","inspection, study by observation, field trip, tour, review; sitting out (e.g. PE class)"
"謙虚","けんきょ","modest, humble"
"研修","けんしゅう","training (esp. in-service), induction course"
"謙遜","けんそん","modesty, humility, being humble"
"県庁","けんちょう","prefectural office"
"顕微鏡","けんびきょう","microscope"
"芸能","げいのう","public entertainment, performing arts; accomplishments, attainments"
"外科","げか","surgery; department of surgery"
"激増","げきぞう","sharp increase, sudden rise"
"下車","げしゃ","alighting (from a train, bus, etc.), getting off, getting out (of a car)"
"下旬","げじゅん","last third of a month, 21st to the last day of a month"
"下水","げすい","drainage, ditch, gutter, sewerage; sewage, black water"
"下駄","げた","geta, Japanese wooden clogs; turn (in set-type proofing), upside-down character"
"月給","げっきゅう","monthly salary"
"月末","げつまつ","end of the month"
"下品","げひん","vulgar, indecent, coarse, crude"
"原稿","げんこう","manuscript, copy, draft, notes, contribution"
"原産","げんさん","place of origin, habitat"
"原始","げんし","origin, beginning, genesis; primeval, primordial, primitive"
"厳重","げんじゅう","strict, severe, stringent, rigorous, rigid, firm, strong, secure"
"限度","げんど","limit, bounds"
"現に","げんに","actually, really"
"原理","げんり","principle, theory, fundamental truth"
"原料","げんりょう","raw materials"
"恋しい","こいしい","yearned for, longed for, missed"
"乞う","こう","to beg, to ask, to request, to invite; to pray, to wish"
"工員","こういん","factory worker"
"公害","こうがい","pollution, public nuisance, contamination"
"高級","こうきゅう","high-class, high-grade, high-quality, high-end, luxury; high-ranking, high-level, senior"
"公共","こうきょう","public (facilities, service, etc.), communal"
"工芸","こうげい","industrial arts, craft"
"孝行","こうこう","filial piety; showing devotion (to someone)"
"交差","こうさ","crossing, intersection; (genetic) crossing over"
"講師","こうし","speaker, lecturer; lecturer (at a university or college), instructor; part-time teacher; tutor (at a cram school)"
"公式","こうしき","official, formal; formula (e.g. mathematical); official (social media) account (of a company, organization, etc.)"
"斯うして","こうして","thus, in this way"
"校舎","こうしゃ","school building, schoolhouse"
"公衆","こうしゅう","the public, general public"
"工事","こうじ","construction work"
"口実","こうじつ","excuse, pretext"
"香水","こうすい","perfume, scent"
"公正","こうせい","justice, fairness, impartiality"
"功績","こうせき","achievement, meritorious deed, distinguished service, contribution"
"光線","こうせん","beam, light ray"
"高層","こうそう","high-rise (building), multistory, multistoried, tall; high (altitude), upper (atmosphere, air current, etc.)"
"構造","こうぞう","structure, construction, makeup, framework, organization, pattern"
"交代","こうたい","alternation, change, relief, relay, shift, substitution (sports, etc.), taking turns"
"耕地","こうち","arable land, plantation, farmland; fazenda, hacienda, large estate"
"交通機関","こうつうきかん","(means of) transportation, transport, transportation facilities, transportation system, transit system"
"肯定","こうてい","affirmation; affirmative"
"校庭","こうてい","schoolyard, playground, school grounds, campus"
"高等","こうとう","high class, high grade"
"高度","こうど","altitude, height, elevation; high-degree, high-grade, advanced, sophisticated, strong"
"後輩","こうはい","junior (at work, school, etc.), younger people, younger student"
"公表","こうひょう","official announcement, proclamation"
"鉱物","こうぶつ","mineral"
"公務","こうむ","official business, public business"
"項目","こうもく","item, heading, category, clause; headword (in a dictionary, encyclopedia, etc.), entry"
"紅葉","こうよう","autumn colours, fall colors, leaves changing color (colour); leaves turning red, red leaves; leaves turning yellow, yellow leaves; (Japanese) maple (Acer japonicum); venison; layered colors in garments, resembling autumn colors"
"交流","こうりゅう","exchange (e.g. cultural), interchange, interaction, mingling, mixing, coming together; alternating current, AC"
"効力","こうりょく","effect, efficacy, validity, potency"
"越える","こえる","to cross over, to cross, to pass through, to pass over (out of), to go beyond, to go past; to exceed, to surpass, to be more (than)"
"焦がす","こがす","to burn, to scorch, to singe, to char"
"国王","こくおう","king, queen, monarch, sovereign; the Crown (as a focus of authority in the UK, etc.), the throne"
"国籍","こくせき","nationality, citizenship; nationality (ship, airplane, etc.), registration, flag"
"国立","こくりつ","national, founded and run by the central government"
"焦げる","こげる","to burn, to scorch, to char, to singe"
"心当たり","こころあたり","having in mind, happening to know of, idea"
"心得る","こころえる","to know, to understand, to be aware of, to regard as, to take for; to (understand and) accept (a responsibility); to have a knowledge of (a skill, art, etc.), to have a command of, to know (how to do)"
"凍える","こごえる","to freeze (of one's body), to be frozen, to become numb (with cold), to be chilled"
"腰掛け","こしかけ","seat, bench; temporary job while looking for a better job or until one marries"
"腰掛ける","こしかける","to sit (down)"
"胡椒","こしょう","pepper"
"拵える","こしらえる","to make, to manufacture"
"越す","こす","to cross over (e.g. mountain), to go across; to get over (e.g. hardship); to pass time (e.g. a winter); to surpass, to be better than, to exceed; to move house; to go, to come"
"擦る","こする","to rub, to scrub, to scrape"
"個体","こたい","individual, specimen"
"","こちらこそ","it is I who should say so"
"","コック","cook, chef; tap, spigot, faucet, cock; cock (male fowl); cock (penis)"
"","こっそり","stealthily, secretly, in secret"
"小遣い","こづかい","pocket money, spending money, pin money, allowance"
"古典","こてん","classic (work, esp. book), the classics"
"琴","こと","koto (13-stringed Japanese zither); stringed instrument; zheng (Chinese zither), guzheng"
"言付ける","ことづける","to have someone send (a message, parcel, etc.), to send (via someone else), to leave (a message) with someone; to use as an excuse, to make a pretext of"
"言葉遣い","ことばづかい","speech, expression, wording, language"
"此間","こないだ","the other day, lately, recently"
"零す","こぼす","to spill, to drop, to shed (tears); to grumble, to complain; to let one's feelings show"
"零れる","こぼれる","to spill, to fall out of, to overflow; to peek through, to become visible (although normally not); to escape (of a smile, tear, etc.)"
"小指","こゆび","little finger, pinky; little toe"
"堪える","こらえる","to bear, to stand, to endure, to put up with; to restrain, to control, to keep a check on; to forgive, to put up with, to pardon"
"","コレクション","collection; correction"
"転がす","ころがす","to roll, to wheel, to trundle, to drive (a car); to turn over, to tip over, to throw down; to leave; to buy and sell (quickly for a profit)"
"転がる","ころがる","to roll, to tumble; to fall over, to roll over; to lie down; to be scattered about, to be lying around; (of a situation or outcome) to change, to turn out; to come easily, to be common, to fall into one's hands, to grow on trees"
"紺","こん","navy blue, deep blue"
"混凝土","コンクリート","concrete"
"","コンクール","competition, contest"
"混合","こんごう","mixing, mixture, meld; miscegenation"
"","コンセント","electrical outlet, wall socket, power plug"
"献立","こんだて","menu, bill of fare; program, programme, schedule"
"今晩は","こんばんは","good evening"
"","コース","course, route, trail; course (of study), program; lane (in running, swimming, etc.); course (of action), policy, track, path; course (of a multi-course meal); full-course meal, multi-course meal; plan (type of offered service), course, option; pitch"
"","コーラス","chorus"
"碁","ご","go (board game)"
"強引","ごういん","overbearing, coercive, pushy, forcible, high-handed"
"合同","ごうどう","combination, union, incorporation, amalgamation, fusion; congruence"
"合理","ごうり","rationality"
"合流","ごうりゅう","confluence (of rivers), merge (of traffic), conflux, junction, joining; union (e.g. of forces), linking up, merging, coming together"
"ご苦労様","ごくろうさま","thank you (for your hard work), I appreciate your efforts"
"五十音","ごじゅうおん","the Japanese syllabary"
"ご馳走","ごちそう","treat (esp. food and drink), entertainment, treating someone (to a meal), taking someone to dinner; gorgeous dinner, feast, excellent food, special dish, delicacy"
"ご馳走様","ごちそうさま","thank you (for the meal), that was a delicious meal; thank you (for displaying lovey-dovey behaviour)"
"ご無沙汰","ごぶさた","not writing or contacting for a while, neglecting (failing) to write (call, visit, etc.), long silence"
"護謨","ゴム","gum, rubber; eraser; condom"
"御免","ごめん","I'm sorry, my apologies, excuse me, pardon me; may I come in?; permission, leave, license; dismissal, discharge; not wanting, objecting to, being fed up with, wishing to avoid"
"ご免ください","ごめんください","may I come in?; please forgive me, I'm sorry"
"娯楽","ごらく","amusement, entertainment, recreation, pleasure, pastime, hobby"
"ご覧","ごらん","(please) try to; (please) look; seeing, looking, watching"
"再三","さいさん","again and again, repeatedly"
"祭日","さいじつ","national holiday, festival day"
"催促","さいそく","pressing, urging, demanding, demand"
"採点","さいてん","marking, grading, scoring"
"災難","さいなん","calamity, misfortune, disaster"
"裁縫","さいほう","sewing, needlework"
"","サイレン","siren"
"逆さ","さかさ","inverted, upside down, reversed, back to front"
"逆さま","さかさま","inverted, upside down, reversed, back to front, wrong way round"
"遡る","さかのぼる","to go upstream; to go back (in time, to origin), to date back to, to trace back to, to make retroactive"
"酒場","さかば","bar, pub, tavern"
"探す","さがす","to search for, to look for, to hunt for, to seek; to search (a house, pocket, etc.), to search through, to rummage in (e.g. a drawer), to fish around"
"先ほど","さきほど","a short while ago, a moment ago, just now, some time ago"
"裂く","さく","to tear, to rip up; to cut up, to cleave, to cut open (esp. the abdomen); to forcibly separate (e.g. two lovers); to spare (time, money, etc.), to use part of something; to have a tattoo in the corner of one's eye"
"索引","さくいん","index (in a book)"
"作者","さくしゃ","creator (of a work), author, writer, artist, composer, playwright, dramatist"
"削除","さくじょ","deletion, elimination, erasure, striking out"
"作成","さくせい","drawing up (e.g. legal document, contract, will, etc.), preparing, writing, framing, making, producing, creating, creation"
"作製","さくせい","manufacture, production"
"探る","さぐる","to feel around for, to fumble for, to grope for, to search for, to look for; to investigate, to probe into, to spy on, to sound out; to explore (parts unknown), to enjoy (natural beauty)"
"囁く","ささやく","to whisper, to murmur; to rumor, to rumour"
"刺さる","ささる","to stick into (of something with a sharp point), to prick, to pierce, to get stuck (in), to lodge (in); to resonate emotionally, to move"
"差し支え","さしつかえ","hindrance, impediment"
"差し引き","さしひき","deduction, subtraction, balance; ebb and flow, rise and fall"
"刺身","さしみ","sashimi (raw sliced fish, shellfish or crustaceans)"
"匙","さじ","spoon"
"刺す","さす","to pierce, to stab, to prick, to stick, to thrust; to sting, to bite; to sew, to stitch, to embroider; to pole (a boat); to catch (with a limed pole); to put (a runner) out, to pick off"
"射す","さす","to shine"
"注す","さす","to pour, to add (liquid), to serve (drinks); to put on (lipstick, etc.), to apply, to colour, to dye; to light (a fire), to burn"
"挿す","さす","to insert, to put in; to plant (a cutting), to strike; to arrange (flowers); to wear (a sword) in one's belt; to shut, to close, to lock, to fasten"
"流石","さすが","as one would expect, just as you'd expect (from), just like (someone); still, all the same, after all; even ... (e.g. ""even a genius"")"
"","さっさ","promptly, immediately, quickly, without delay; indifferently"
"早速","さっそく","at once, immediately, without delay, promptly"
"撮影","さつえい","photography (still or motion), photographing, filming, shooting, (video) recording"
"錆","さび","rust"
"錆びる","さびる","to rust, to become rusty"
"冷ます","さます","to cool (e.g. from a high temperature to room temperature), to let cool; to dampen, to throw a damper on, to spoil"
"妨げる","さまたげる","to disturb, to prevent, to obstruct, to hinder"
"冷める","さめる","to cool down, to get cold; to cool off (excitement, temper, etc.), to subside, to dampen, to fade, to wane; to be cold (eyes, expression, etc.), to be composed"
"左様なら","さようなら","farewell, adieu, goodbye, so long"
"再来月","さらいげつ","month after next"
"再来週","さらいしゅう","week after next"
"再来年","さらいねん","year after next"
"","サラリーマン","office worker, company employee, company man, salaryman (stereotypical Japanese office worker)"
"騒がしい","さわがしい","noisy, boisterous; turbulent (era, etc.), troubled"
"爽やか","さわやか","fresh, refreshing, invigorating; clear (e.g. voice), fluent, eloquent"
"三角","さんかく","triangle, triangular shape"
"算数","さんすう","arithmetic; calculation"
"酸性","さんせい","acidity; acidic"
"産地","さんち","producing area"
"","サンプル","sample, example, specimen; display model (e.g. plastic food models used by restaurants)"
"山林","さんりん","mountain forest, forest on a mountain, montane forest; mountains and forest"
"","サークル","group with a common interest (e.g. students), club (e.g. company sports club), circle; circle (shape)"
"在学","ざいがく","attending (school, college, etc.), being enrolled, being a student"
"材木","ざいもく","wood (for building), lumber, timber"
"座敷","ざしき","tatami room, tatami mat room, formal Japanese room; dinner party in a tatami room (esp. when a geisha or maiko attends)"
"雑音","ざつおん","noise (usu. unpleasant); interference (e.g. radio), static, noise; gossip, irresponsible criticism"
"座布団","ざぶとん","zabuton, flat floor cushion used when sitting or kneeling; usu. rectangular"
"仕上がる","しあがる","to be finished, to be completed, to be done"
"明々後日","しあさって","in three days' time, two days after tomorrow"
"塩辛い","しおからい","salty (taste), briny"
"司会","しかい","leading a meeting, presiding over a meeting, officiating at a ceremony, chairmanship; chairman, presenter, host, moderator, master of ceremonies"
"四角い","しかくい","square, rectangular"
"四角","しかく","quadrilateral, square"
"四季","しき","the four seasons"
"敷地","しきち","site, plot, lot, grounds"
"至急","しきゅう","urgent, pressing, immediate, prompt, express; urgently, promptly, at once, right away, without delay, as soon as possible"
"敷く","しく","to spread out, to lay out; to take a position; to impose widely (e.g. over a city)"
"茂る","しげる","to grow thickly, to be in full leaf, to be rampant, to luxuriate, to be luxurious"
"四捨五入","ししゃごにゅう","rounding (fractions), rounding half up"
"始終","しじゅう","continuously, from beginning to end, from first to last"
"静まる","しずまる","to become quiet, to quiet down, to quieten down; to calm down, to die down, to subside, to abate, to be suppressed"
"姿勢","しせい","posture, pose, position, stance, carriage (of the body); attitude, approach, stance"
"自然科学","しぜんかがく","natural science"
"子孫","しそん","descendant, posterity, offspring"
"死体","したい","dead body, corpse, cadaver, carcass"
"下書き","したがき","draft, rough copy"
"下町","したまち","low-lying part of a city (usu. containing shops, factories, etc.); Shitamachi (low-lying area of eastern Tokyo near Tokyo Bay, incl. Asakusa, Shitaya, Kanda, Fukugawa, Honjo, Nihonbashi, Kyobashi and surrounds)"
"湿気","しっけ","moisture, humidity, dampness"
"執筆","しっぴつ","writing, authoring"
"尻尾","しっぽ","tail (animal); tail end, tip"
"執拗い","しつこい","insistent, obstinate, persistent, tenacious; too rich (taste, etc.), fatty, heavy, greasy"
"湿度","しつど","level of humidity"
"失恋","しつれん","disappointed love, broken heart, unrequited love, being lovelorn"
"指定","してい","designation, specification, assignment, appointment, pointing at"
"私鉄","してつ","private railway"
"縛る","しばる","to tie, to bind, to fasten; to restrict (freedom), to tie down (with rules, regulations, etc.), to fetter"
"痺れる","しびれる","to become numb, to go to sleep (e.g. a limb); to get an electric shock, to tingle (from an electric shock); to be excited, to be titillated, to be mesmerized, to be enthralled"
"紙幣","しへい","paper money, note, bill"
"萎む","しぼむ","to wither (of flowers, dreams, etc.), to wilt, to droop, to shrivel, to fade (away), to sag, to deflate"
"絞る","しぼる","to wring (towel, rag), to squeeze; to squeeze (fruit to extract juice), to press, to extract, to milk, to express milk; to rack (one's brains), to strain (one's voice); to extort, to exploit; to chew out, to reprimand severely, to rake over the coals, to give a sound scolding, to tell someone off, to scold, to rebuke; to drill into, to train; to narrow down (one's focus), to whittle down; to gather up (curtain, etc.), to tighten (drawstring); to stop down (lens); to turn down (e.g. radio); to bend (bow), to draw; to hold down, to constrict, to immobilize"
"縞","しま","stripe, bar, streak; (weaved) stripe pattern (of 2 or more different colors)"
"沁み沁み","しみじみ","keenly, deeply, fully, heartily, seriously, earnestly; calmly, quietly, softly; fixedly (gazing, staring), intently"
"氏名","しめい","(full) name, identity"
"締め切り","しめきり","deadline, closing, cut-off, end; cofferdam; closed (door, window, etc.)"
"締め切る","しめきる","to close up, to shut up (e.g. behind doors); to cut off (e.g. because a deadline has expired), to close off (e.g. subscription list)"
"湿る","しめる","to become damp, to become moist, to become wet; to lack energy, to be in a slump, to be in low spirits, to feel depressed"
"社会科学","しゃかいかがく","social science"
"","しゃがむ","to squat, to crouch"
"車庫","しゃこ","garage, carport, depot (trains, buses, etc.)"
"車掌","しゃしょう","(train) conductor"
"写生","しゃせい","sketching, drawing from nature, portrayal, description"
"社説","しゃせつ","editorial, leading article, leader"
"吃逆","しゃっくり","hiccup, hiccough"
"","シャッター","(camera) shutter; shutter (for a door, window, etc.)"
"","しゃぶる","to suck, to lick"
"車輪","しゃりん","(vehicle) wheel"
"洒落","しゃれ","joke, pun, jest, witticism, wordplay; smartly dressed, stylish, fashion-conscious, refined"
"集会","しゅうかい","meeting, assembly, gathering, congregation, convention, rally"
"集金","しゅうきん","money collection"
"集合","しゅうごう","meeting up, gathering, assembly; set"
"習字","しゅうじ","penmanship, calligraphy"
"修繕","しゅうぜん","repair, mending"
"終点","しゅうてん","terminus, last stop (e.g. train)"
"就任","しゅうにん","assumption (of office), taking up (a post), inauguration, installation"
"周辺","しゅうへん","circumference, outskirts, environs, around, in the area of, in the vicinity of; (computer) peripheral"
"終了","しゅうりょう","end, close, termination"
"縮小","しゅくしょう","reduction, curtailment, cut, cutback, scaling down"
"祝日","しゅくじつ","national holiday, public holiday"
"主語","しゅご","subject"
"出勤","しゅっきん","going to work, leaving for work, attendance (at work), being at work, presence (in the office), reporting for work"
"出張","しゅっちょう","business trip, official trip"
"主役","しゅやく","leading part, leading actor, leading actress"
"消化","しょうか","digestion (of food); digestion (of information), assimilation, thorough understanding; consumption, absorption, using up, meeting (e.g. a quota), completion; losing one's form and turning into something else"
"小学生","しょうがくせい","elementary school student, primary school student, grade school student"
"仕様がない","しょうがない","there's no (other) way; cannot be helped, unavoidable, inevitable, (there's) nothing one can do, having no choice; it's no use (doing), pointless, useless, no good, insufficient, not enough; hopeless (person), annoying, troublesome, awful; cannot stand it, unbearable, cannot help (doing, feeling), dying (to do)"
"消極的","しょうきょくてき","negative, passive, half-hearted, unmotivated"
"賞金","しょうきん","prize money, monetary award, reward"
"将棋","しょうぎ","shogi, Japanese chess"
"商業","しょうぎょう","commerce, trade, business"
"商社","しょうしゃ","trading company"
"障子","しょうじ","shoji (paper sliding door)"
"小数","しょうすう","fraction (part of), decimal fraction"
"生ずる","しょうずる","to produce, to yield, to cause; to result from, to arise, to be generated"
"商店","しょうてん","shop, small store, business, firm"
"焦点","しょうてん","focus, focal point; focus (of attention, a discussion, etc.), point at issue, central point; focus"
"消毒","しょうどく","disinfection, sterilization, sterilisation"
"勝敗","しょうはい","victory or defeat, outcome (of a game, battle, etc.)"
"賞品","しょうひん","prize, trophy"
"勝負","しょうぶ","victory or defeat; match, contest, game, bout"
"小便","しょうべん","urine, piss, pee, urination; breaking a contract"
"消防署","しょうぼうしょ","fire station"
"正味","しょうみ","net (amount), clear, full (e.g. working hours); net weight; net price, cost price; actual content, useful part"
"正面","しょうめん","front, frontage, facade, main"
"消耗","しょうもう","exhaustion, consumption, using up, dissipation, waste"
"醤油","しょうゆ","soy sauce, shoyu"
"省略","しょうりゃく","omission, abbreviation, abridgment, abridgement"
"初級","しょきゅう","elementary level, beginner level"
"食塩","しょくえん","table salt"
"職人","しょくにん","craftsman, artisan, tradesman, worker, workman"
"初旬","しょじゅん","first 10 days of the month"
"書籍","しょせき","book, publication"
"食器","しょっき","tableware"
"","ショップ","shop"
"書店","しょてん","bookshop, bookstore"
"書道","しょどう","calligraphy"
"白髪","しらが","white hair, grey hair, gray hair"
"知り合い","しりあい","acquaintance"
"私立","しりつ","private (establishment)"
"資料","しりょう","materials, data, document"
"","シリーズ","series"
"汁","しる","juice, sap; soup, broth; (dipping) sauce"
"素人","しろうと","amateur, layman, ordinary person, novice; respectable woman (i.e. not a prostitute, hostess, geisha); unlicensed prostitute"
"芯","しん","wick, marrow, staple (for stapler), (pencil) lead, stuffing, pith; core, heart, centre, center; pistil (of a flower); stamen"
"新幹線","しんかんせん","Shinkansen, bullet train"
"真空","しんくう","vacuum, hollow, empty"
"心身","しんしん","mind and body"
"信ずる","しんずる","to believe, to believe in, to place trust in, to confide in, to have faith in"
"申請","しんせい","application, request, petition"
"寝台","しんだい","bed, couch"
"診断","しんだん","diagnosis, medical examination"
"侵入","しんにゅう","invasion, incursion, raid, aggression, intrusion, trespass, penetration, hacking"
"深夜","しんや","late at night"
"森林","しんりん","forest, woods"
"親類","しんるい","relative, relation, kin"
"針路","しんろ","course, direction"
"神話","しんわ","myth, legend"
"","シーズン","season (period in which regulated games are played); season (division of the year); season (of a TV show, etc.); season (for doing something, e.g. ski season, entrance examination season)"
"","シーツ","sheet, bed sheet"
"寺院","じいん","Buddhist temple; religious building, church, cathedral, mosque"
"自衛","じえい","self-defense, self-defence"
"時間割","じかんわり","timetable (esp. a weekly school timetable), schedule"
"持参","じさん","bringing, taking, carrying"
"磁石","じしゃく","magnet; compass"
"自習","じしゅう","self-study, teaching oneself; studying by oneself (at school) while the teacher is absent"
"時速","じそく","speed (per hour)"
